,specialStudents_girls,cursosComunitarios,workingComputers,meanAge_4,meanAge_1,meanAge_2,numberCT,totalBoys,brokenWC,classSize_6,wallMaterial,computerGov,classSize_4,v_phoneService,totalWC,meanAge_3,margina,totalGirls,p_mat_std,cct
219,0.0,1.0,499.9,9.25,6.7999997,7.3253965,1,8.333333,4.0,10.5,0.89999998,0.0,9.0,0,2.0,8.25,3,11.666667,-0.79960966,05KPR0295D
220,0.0,1.0,200.4,11.75,9.0,8.583333999999999,1,5.5,4.0,4.75,0.89999998,0.1,6.0,0,1.0,11.111111,2,3.75,-0.89324582,05KPR0298A
221,0.0,1.0,200.2,9.3097224,6.3333335,7.0,1,4.3333335,52.2,3.67333334,0.5,0.0,4.046190480000001,0,0.0,9.444444699999998,3,2.3333333,-0.64855468,05KPR0333Q
222,0.023809524,1.0,0.8,10.2,6.611111200000001,7.333333500000001,2,6.4285712,0.0,2.6666667,0.89999998,0.2,4.5999999,0,3.0,8.8142853,2,3.4285714999999994,0.02139923,05KPR0342Y
223,0.0,1.0,100.7,9.25,5.875,7.0,3,2.1428571,451.666666669,3.75,0.5,0.0,4.5,1,0.0,8.0,2,3.5714285000000006,-0.56099701,05KPR0357Z
224,0.0,1.0,150.35,9.0,7.041666499999999,7.0,1,4.0,201.7,6.5,0.89999998,0.0,6.5,0,0.0,8.7444439,2,5.4000001,-0.43105540000000003,05KPR0378M
225,0.0,1.0,0.6666666689999999,8.7333336,6.3333335,6.5,1,3.125,4.0,3.0,0.89999998,0.0,3.8,0,1.0,8.0,2,2.25,-0.58320248,05KPR0395C
226,0.0,1.0,0.3,8.8571424,6.25,7.0,1,3.375,1.0,2.25,0.5,0.0,3.0,0,2.0,8.1000004,1,1.375,-0.6954928000000001,05KPR0415Z
227,0.0,1.0,350.2,8.6000004,6.0625,6.833333500000001,2,3.625,1.0,2.6666667,0.89999998,0.15,2.2857144,0,2.0,8.125,3,2.125,-0.60922545,05KPR0424H
228,0.0,1.0,100.7,7.5,6.1999998,7.0,2,2.0,501.5,2.75,0.5,0.05,2.0,0,2.0,8.875,2,2.25,-0.44676888,05KPR0429C
229,0.0,1.0,0.0,8.5,6.0,6.75,1,2.875,3.0,5.5999999,0.89999998,0.0,5.0,0,2.0,7.6875,2,2.75,-0.43703899,05KPR0431R
230,0.0,1.0,200.6,9.0,6.0,7.333333500000001,1,3.0,1699.3,2.25,0.5,0.7,4.0,0,0.0,8.0,2,1.0,0.13377984,05KPR0435N
231,0.0,1.0,999.0,9.5,6.0,7.0,2,3.0,2.6,2.5,0.89999998,0.0,1.3333334,0,0.0,8.0,2,1.1666666,-0.52075261,05KPR0443W
232,0.0,1.0,100.11666666900001,10.5,6.0,8.0,1,1.4,1599.65,3.0,0.5,0.0,2.5,0,0.0,8.5,2,2.0,-0.32445759,05KPR0495B
233,0.0,1.0,0.45,8.8749999,9.0,7.1972222299999995,2,2.5,1899.85,3.53333334,0.5,0.1,3.5333333500000004,0,0.0,8.599999899999998,1,1.0,0.41704077,05KPR0496A
234,0.0,1.0,0.8,9.3000002,7.5285711,6.866666800000001,2,4.875,1.5,3.0,0.89999998,0.0,5.1999998,0,2.0,8.8999996,3,3.375,-1.365669,05KPR0509O
235,0.0,1.0,1.0,9.8000002,6.4666667,7.0,2,4.625,1.0,3.6666667,0.89999998,0.0,5.0,0,2.0,8.583333,2,2.875,-0.23081703,05KPR0542W
236,0.0,1.0,0.7,9.869047199999999,6.733333099999999,7.160714100000001,1,6.625,4.0,5.5999999,0.89999998,0.2,7.0,0,2.0,8.447917,2,7.25,-1.0609376,05KPR0551D
237,0.0,1.0,100.4,9.0,6.0833335,6.75,1,1.75,1.0,2.0,0.89999998,0.0,3.2,0,2.0,8.0,2,2.125,0.1839039,05KPR0560L
238,0.0,1.0,50.45,8.625,6.0,7.0,2,2.25,2.0,4.3333335,0.89999998,0.130000001,5.0,0,2.0,8.375,3,3.875,-1.1229622,05KPR0585U
239,0.0,1.0,100.8,9.333333,6.0,7.0,2,2.0,0.0,3.60000001,0.89999998,0.4,4.0,0,2.0,7.777777700000001,3,2.3333333,0.053654723,05KPR0593C
240,0.0,1.0,100.6,9.1999998,6.0,7.0,1,2.5,2.6666667,2.75,0.89999998,0.0,3.0,0,3.0,8.0,3,2.0,-0.46583855,05KPR0600W
241,0.0,1.0,100.2,8.833333,6.0555553,7.0,1,3.0,800.4,4.1666665,0.89999998,0.0,3.0,0,0.0,8.0,3,4.375,-0.94309092,05KPR0601V
242,0.0,1.0,200.5,9.3611107,6.266666900000001,7.1999998,2,4.0,4.0,4.1999998,0.89999998,0.0,4.0,0,2.0,8.125,2,2.5,-0.4108991,05KPR0609N
243,0.0,1.0,1.0,9.0,6.888888799999999,7.5,1,5.75,0.0,5.0,0.89999998,0.0,6.0,0,3.0,8.333333,3,3.75,-0.74346638,05KPR0615Y
244,0.0,1.0,0.9,9.0,7.277777700000001,7.0,1,5.25,2.0,4.0,0.89999998,0.0,3.5,0,2.0,8.0,2,4.25,-0.85453594,05KPR0616X
245,0.0,1.0,0.6,9.5,6.0,7.0,2,4.3333335,1.0,5.5,0.5,0.080000001,3.0,0,2.0,8.0,2,4.0,-1.2879847,05KPR0619U
246,0.0,1.0,0.8,9.0051588,6.666666499999999,8.333333,2,7.0,150.95,5.70952382,0.8199999840000002,0.0,0.0,0,0.0,8.533571259999999,2,7.0,-0.94026887,05KPR0621I
247,0.0,1.0,300.3,9.333333,6.1666665,7.25,1,5.3333335,0.0,5.0,0.89999998,0.685714287,6.0,1,2.0,8.0,3,2.3333333,0.39367065,05KPR0622H
248,0.0,1.0,100.4,9.0,6.5,7.0,2,1.6666666,201.6,2.0,0.89999998,0.0,4.0,0,0.0,8.0,3,2.0,-0.97452283,05KPR0623G
249,0.0,1.0,1.0,8.944444699999998,6.0,7.099999900000001,2,5.25,3.0,4.5999999,0.89999998,0.0,5.3333335,0,1.0,8.111110700000001,2,3.75,-0.34708545,06KPR0004X
250,0.0,1.0,1.0,9.333333,6.0,7.0,2,3.875,0.0,4.6666665,0.89999998,0.0,3.3333333,0,2.0,8.428571699999999,2,4.5,-1.2839996,06KPR0009S
251,0.0,1.0,300.3,8.6000004,6.0,6.75,2,0.875,1.0,2.5,0.89999998,0.3,2.4000001,0,1.0,7.5,3,2.125,0.49563444,06KPR0018Z
252,0.0,1.0,5.7450001,9.0,6.0,7.0,1,2.5,2.75,2.5,0.89999998,0.0,3.0,0,0.0,8.0,2,2.0,1.1822556,06KPR0025J
253,0.0,1.0,0.7333333339999999,10.666667,6.888888799999999,9.666667,2,3.0,3.0,3.0,0.89999998,0.0,7.0,0,1.0,10.866667,2,6.0,-1.403738,06KPR0030V
254,0.0,1.0,0.0,9.6999998,6.3000002,8.288888900000002,2,5.2857141,0.0,4.0,0.89999998,0.0,7.75,0,2.0,9.5333328,2,6.4285712,-0.099043921,06KPR0042Z
255,0.0,1.0,100.25,8.8888893,6.0,7.0,2,4.625,1.0,4.6666665,0.89999998,0.0,4.1666665,0,2.0,8.0,2,2.75,-1.0299247999999999,06KPR0048U
256,0.0,1.0,1.0,9.0,6.1666665,6.8000002,2,2.0,1.0,2.75,0.89999998,0.2,2.5,0,2.0,8.199999799999999,2,2.75,-0.36182284,06KPR0072U
257,0.0,1.0,0.9,10.0,7.0,7.2,2,1.6666666,0.0,4.0,0.89999998,0.2,2.0,0,2.0,8.4458333,3,1.0,-0.27004078,06KPR0073T
258,0.0,1.0,1.0,10.125,7.7166667,7.5333333,2,2.5,0.0,3.0,0.89999998,0.0,3.2,0,2.0,9.333333,2,4.375,-1.0472167,06KPR0082A
259,0.006666666999999999,1.0,50.75,9.0,6.0,7.0,2,3.0,601.0,2.47500001,0.89999998,0.4,2.0,1,0.0,8.0,3,0.0,-1.3455373,06KPR0093G
260,0.0,1.0,100.78000000099999,9.375,7.0,7.5833330000000005,2,1.625,3.0,3.0,0.89999998,0.2,3.75,0,2.0,9.7333336,2,3.125,-0.54184806,06KPR0095E
261,0.0,1.0,1.0,9.666667,6.4166665,7.2071428,2,7.25,0.0,4.3333335,0.89999998,0.0,6.1428571,0,5.0,8.5687504,2,6.125,-0.66492492,06KPR0097C
262,0.0,1.0,0.266666669,9.29,6.461905000000001,7.166666499999999,2,7.375,1001.0,6.5,0.89999998,0.0,6.1666665,0,1.0,8.7559519,2,6.875,-1.4283587,06KPR0110G
263,0.0,1.0,400.2,9.222222300000002,6.0,7.400000099999999,2,3.0,3.0,3.0,0.89999998,0.1,5.3333335,0,2.0,8.0,2,1.0,-0.50718725,06KPR0147U
264,0.0,1.0,100.5,9.416667,6.666666499999999,8.166667,2,3.625,2.0,2.75,0.89999998,0.0,3.2,0,2.0,10.416667,2,1.25,-0.53642845,06KPR0221L
265,0.0,1.0,250.15,9.0,6.0,6.8333330000000005,1,1.0,1.0,3.85,0.89999998,0.0,2.0,0,1.0,8.31944437,2,4.0,-1.1490122999999999,06KPR0230T
266,0.0,1.0,799.4,11.0,6.0,8.0,2,1.5,0.0,2.0,0.89999998,0.0,2.5,0,1.0,9.166667,2,2.25,-0.98411798,06KPR0253D
267,0.0,1.0,100.7,10.75,7.0,6.951666689999999,2,2.0,2.0,2.0,0.89999998,0.05,3.5,0,1.0,9.0,2,2.5,-0.46430773,06KPR0306S
