,cistern,workingComputers,directivesTeachers,classSize_5,roomQuality,mt_readTeachers,carrMagisterial,meanAge_2,classSize_6,students1,nivelCarrMagis,sexRatio_students,mt_speakStaff,meanAge_3,classSize_prim,graduateTeachers,margina,mt_readStaff,totalGirls,totalTeachers,preschoolAttendance,disabilitiesStudents,extraFacilities,safety,p_mat_std,cct
2653,0.0,1.0,1.0,4.125,1.8,1.0,0.041666668,7.3637819,3.0,9.625,0.041666668,0.09147541199999999,0.27083334,8.447917,5.0,0.375,1,0.27083334,18.625,0.625,0.0,0.0062500001,0,0,-1.9207908,20DPB2103T
2654,0.0,0.633333334,1.0,15.428572,1.0,1.0,0.0,7.3033242,13.428572,16.875,0.0,0.09793368,0.46190476,8.4056139,16.428572,0.0,1,0.46190476,43.375,1.75,0.95535713,0.0,1,0,-1.6998878000000002,20DPB2105R
2655,0.1,0.909523812,1.0,3.625,1.6599999999999997,1.0,0.0,7.555952099999999,3.0,7.875,0.0,0.23974724,0.0625,8.8249998,4.8333335,0.0,4,0.0625,12.875,0.125,0.67003971,0.013198925,0,0,-0.97124678,20DPB2106Q
2656,0.2,0.5,1.0,5.375,1.8,1.0,0.125,7.8625002,3.75,6.25,0.125,0.17649454,0.25,8.2946434,4.875,0.0,2,0.25,13.125,0.5,0.41874999,0.0,2,1,-0.36117876,20DPB2107P
2657,0.0,1.0,1.0,2.5714285,1.5400000000000003,0.0125,0.25,8.3125,3.1428571,3.25,0.25,0.34370491,0.0,9.958333,2.9444444,0.494285716,0,0.0,6.75,0.0,0.1,0.0,0,0,1.2341621,20DPB2108O
2658,0.0,0.5933333359999999,1.0,3.0,1.56,0.0,0.0,7.7357144,3.375,2.5,0.0,0.19737104,0.0,8.8690481,3.125,0.625,0,0.0,6.75,0.0,0.09375,0.034329437000000004,0,1,0.36130929,20DPB2110C
2659,1.0,1.0,1.0,6.375,1.4,0.0,0.0,7.5178571,5.375,6.125,0.0,0.14630236,0.0,8.720237699999998,5.7916665,0.138843539,1,0.0,14.375,0.0,0.22499999,0.014316943,0,3,-0.89555132,20DPB2111B
2660,1.0,0.5,1.0,2.875,2.0,0.0,0.0,7.166666499999999,3.125,4.625,0.0,0.21493506,0.0,8.8523808,3.4444443999999996,0.24000000100000002,1,0.0,8.875,0.0,0.0,0.024463147,2,0,-1.3790461,20DPB2112A
2661,0.0,0.2,1.0,5.5,1.6,1.0,0.0,7.3071427,5.375,6.75,0.0,0.15109591,0.5,8.480059599999999,5.5208335,0.0,2,0.5,18.0,1.0,0.70714283,0.0,2,2,-0.15003729,20DPB2113Z
2662,0.0,0.95,0.25,20.125,2.0,1.0,0.08571428800000001,7.588126700000001,17.5,21.5,0.08571428800000001,0.064783283,0.41785714,8.6024513,20.729167999999998,0.20833334,3,0.41785714,65.0,2.625,0.58675015,0.0028620143,2,1,-0.53486174,20DPB2114Z
2663,0.0,0.4,1.0,4.375,1.6,1.0,0.0,7.458333500000001,4.0,7.0,0.0,0.29612944,0.125,8.734127,4.9583335,0.0,1,0.125,11.375,0.25,0.29241073,0.0,1,0,-0.64380598,20DPB2115Y
2664,1.0,0.33333334,0.875,11.375,1.2,0.33333334,0.0,7.1327062,11.375,11.125,0.0,0.1006035,0.23958334,8.2270832,11.145833,0.0625,0,0.23958334,33.5,2.25,0.97279412,0.0077670245,2,0,-0.86884129,20DPB2116X
2665,1.0,0.33333334,1.0,4.875,1.6600000000000001,1.0,0.0,7.8267856,4.75,10.25,0.0,0.22131509,0.25,9.1674109,6.6875,0.0,2,0.25,21.0,0.5,0.33928573,0.0,0,0,-0.24245088,20DPB2118V
2666,0.0,1.0,0.0,21.75,1.8,0.92500001,0.046875,7.5221591,23.125,25.0,0.09375,0.10697532,0.515625,8.525263800000001,23.541666,0.0625,2,0.515625,78.5,4.25,0.47268233,0.020336016999999998,2,0,-0.564062,20DPB2119U
2667,0.0,0.45,1.0,3.625,1.42,0.0,0.0,7.3125,5.8571429,6.125,0.0,0.14739574,0.0,8.228570900000001,4.619047599999999,0.0,1,0.0,13.875,0.25,0.5,0.068734497,1,0,-0.51038158,20DPB2120J
2668,0.0,0.0,1.0,8.125,2.0,0.71428573,0.125,7.275744900000001,6.625,8.125,0.125,0.16562119,0.3125,8.341666199999999,7.7291669999999995,0.0,1,0.3125,21.875,0.875,0.75,0.013545275,2,0,-0.13920331,20DPB2126D
2669,0.0,0.6375,0.0,20.875,1.2,0.84151787,0.13839287,7.1903619999999995,20.125,30.75,0.19196428,0.10726706,0.62364268,8.1842737,21.822916,0.077380955,2,0.62364268,68.5,6.5,0.8603915000000001,0.0,1,0,-1.0095459,20DPB2130Q
2670,1.0,1.0,0.0,20.5,2.0,0.97172618,0.0,7.3432178,25.375,43.25,0.0,0.14967245,0.59455127,8.6525984,22.763889000000002,0.050000000999999995,1,0.59455127,118.375,8.125,0.75216079,0.0,2,0,-1.4845039,20DPB2131P
2671,0.0,0.45,1.0,3.0,1.8,0.0,0.0,7.797916900000001,3.5,4.0,0.0,0.18402778,0.0,8.9595242,3.6666667,0.0,1,0.0,12.125,0.0,0.44999999,0.0,1,0,-0.81399667,20DPB2133N
2672,0.0,1.0,1.0,3.75,1.6,0.0,0.0,7.1696429,4.25,4.625,0.0,0.12893356,0.0,8.497618699999999,4.2083335,0.0,1,0.0,14.125,0.0,0.11666667,0.0,2,1,-1.7747821,20DPB2134M
